district,year,metric,value
관악구,2006,발생건수 (건),1669.0
관악구,2006,부상자수 (명),2376.0
관악구,2006,사망자수 (명),12.0
관악구,2006,인구 10만명당 부상자수 (명),435.2
관악구,2006,인구 10만명당 사망자수 (명),2.2
관악구,2006,자동차 1만대당 발생건수 (건),119.6
관악구,2007,발생건수 (건),1844.0
관악구,2007,부상자수 (명),2597.0
관악구,2007,사망자수 (명),18.0
관악구,2007,인구 10만명당 부상자수 (명),471.5
관악구,2007,인구 10만명당 사망자수 (명),3.3
관악구,2007,자동차 1만대당 발생건수 (건),131.0
관악구,2008,발생건수 (건),1944.0
관악구,2008,부상자수 (명),2710.0
관악구,2008,사망자수 (명),13.0
관악구,2008,인구 10만명당 부상자수 (명),491.1
관악구,2008,인구 10만명당 사망자수 (명),2.4
관악구,2008,자동차 1만대당 발생건수 (건),138.2
관악구,2009,발생건수 (건),1979.0
관악구,2009,부상자수 (명),2778.0
관악구,2009,사망자수 (명),14.0
관악구,2009,인구 10만명당 부상자수 (명),507.6
관악구,2009,인구 10만명당 사망자수 (명),2.6
관악구,2009,자동차 1만대당 발생건수 (건),140.1
관악구,2010,발생건수 (건),1851.0
관악구,2010,부상자수 (명),2632.0
관악구,2010,사망자수 (명),16.0
관악구,2010,인구 10만명당 부상자수 (명),478.8
관악구,2010,인구 10만명당 사망자수 (명),2.9
관악구,2010,자동차 1만대당 발생건수 (건),131.3
관악구,2011,발생건수 (건),1737.0
관악구,2011,부상자수 (명),2396.0
관악구,2011,사망자수 (명),17.0
관악구,2011,인구 10만명당 부상자수 (명),438.5
관악구,2011,인구 10만명당 사망자수 (명),3.1
관악구,2011,자동차 1만대당 발생건수 (건),123.3
관악구,2012,발생건수 (건),1713.0
관악구,2012,부상자수 (명),2299.0
관악구,2012,사망자수 (명),20.0
관악구,2012,인구 10만명당 부상자수 (명),425.3
관악구,2012,인구 10만명당 사망자수 (명),3.7
관악구,2012,자동차 1만대당 발생건수 (건),119.9
관악구,2013,발생건수 (건),1753.0
관악구,2013,부상자수 (명),2482.0
관악구,2013,사망자수 (명),20.0
관악구,2013,인구 10만명당 부상자수 (명),463.8
관악구,2013,인구 10만명당 사망자수 (명),3.7
관악구,2013,자동차 1만대당 발생건수 (건),122.9
관악구,2014,발생건수 (건),1716.0
관악구,2014,부상자수 (명),2317.0
관악구,2014,사망자수 (명),22.0
관악구,2014,인구 10만명당 부상자수 (명),435.6
관악구,2014,인구 10만명당 사망자수 (명),4.1
관악구,2014,자동차 1만대당 발생건수 (건),119.5
관악구,2015,발생건수 (건),1625.0
관악구,2015,부상자수 (명),2135.0
관악구,2015,사망자수 (명),12.0
관악구,2015,인구 10만명당 부상자수 (명),403.6
관악구,2015,인구 10만명당 사망자수 (명),2.3
관악구,2015,자동차 1만대당 발생건수 (건),111.7
관악구,2016,발생건수 (건),1408.0
관악구,2016,부상자수 (명),1895.0
관악구,2016,사망자수 (명),19.0
관악구,2016,인구 10만명당 부상자수 (명),360.5
관악구,2016,인구 10만명당 사망자수 (명),3.6
관악구,2016,자동차 1만대당 발생건수 (건),95.9
관악구,2017,발생건수 (건),1251.0
관악구,2017,부상자수 (명),1659.0
관악구,2017,사망자수 (명),11.0
관악구,2017,인구 10만명당 부상자수 (명),318.5
관악구,2017,인구 10만명당 사망자수 (명),2.1
관악구,2017,자동차 1만대당 발생건수 (건),85.3
관악구,2018,발생건수 (건),1300.0
관악구,2018,부상자수 (명),1717.0
관악구,2018,사망자수 (명),8.0
관악구,2018,인구 10만명당 부상자수 (명),330.2
관악구,2018,인구 10만명당 사망자수 (명),1.5
관악구,2018,자동차 1만대당 발생건수 (건),89.1
관악구,2019,발생건수 (건),1363.0
관악구,2019,부상자수 (명),1755.0
관악구,2019,사망자수 (명),10.0
관악구,2019,인구 10만명당 부상자수 (명),339.2
관악구,2019,인구 10만명당 사망자수 (명),1.9
관악구,2019,자동차 1만대당 발생건수 (건),94.3
관악구,2020,발생건수 (건),1444.0
관악구,2020,부상자수 (명),1819.0
관악구,2020,사망자수 (명),13.0
관악구,2020,인구 10만명당 부상자수 (명),356.8
관악구,2020,인구 10만명당 사망자수 (명),2.6
관악구,2020,자동차 1만대당 발생건수 (건),99.9
관악구,2021,발생건수 (건),1419.0
관악구,2021,부상자수 (명),1829.0
관악구,2021,사망자수 (명),8.0
관악구,2021,인구 10만명당 부상자수 (명),366.2
관악구,2021,인구 10만명당 사망자수 (명),1.6
관악구,2021,자동차 1만대당 발생건수 (건),101.8
관악구,2022,발생건수 (건),1172.0
관악구,2022,부상자수 (명),1535.0
관악구,2022,사망자수 (명),9.0
관악구,2022,인구 10만명당 부상자수 (명),306.2
관악구,2022,인구 10만명당 사망자수 (명),1.8
관악구,2022,자동차 1만대당 발생건수 (건),83.5
관악구,2023,발생건수 (건),980.0
관악구,2023,부상자수 (명),1252.0
관악구,2023,사망자수 (명),10.0
관악구,2023,인구 10만명당 부상자수 (명),251.5
관악구,2023,인구 10만명당 사망자수 (명),2.0
관악구,2023,자동차 1만대당 발생건수 (건),70.0
광진구,2005,발생건수 (건),1564.0
광진구,2005,부상자수 (명),2282.0
광진구,2005,사망자수 (명),21.0
광진구,2005,인구 10만명당 부상자수 (명),599.8
광진구,2005,인구 10만명당 사망자수 (명),5.5
광진구,2005,자동차 1만대당 발생건수 (건),146.4
광진구,2006,발생건수 (건),1600.0
광진구,2006,부상자수 (명),2338.0
광진구,2006,사망자수 (명),11.0
광진구,2006,인구 10만명당 부상자수 (명),612.8
광진구,2006,인구 10만명당 사망자수 (명),2.9
광진구,2006,자동차 1만대당 발생건수 (건),149.1
광진구,2007,발생건수 (건),1675.0
광진구,2007,부상자수 (명),2396.0
광진구,2007,사망자수 (명),17.0
광진구,2007,인구 10만명당 부상자수 (명),620.1
광진구,2007,인구 10만명당 사망자수 (명),4.4
광진구,2007,자동차 1만대당 발생건수 (건),154.4
광진구,2008,발생건수 (건),1648.0
광진구,2008,부상자수 (명),2470.0
광진구,2008,사망자수 (명),17.0
광진구,2008,인구 10만명당 부상자수 (명),637.8
광진구,2008,인구 10만명당 사망자수 (명),4.4
