구,연월,지하철_승객_수
성북구,2022-09,3612008.0
성북구,2022-10,4087581.0
성북구,2022-11,4037943.0
성북구,2022-12,3836094.0
성북구,2023-01,3376848.0
성북구,2023-02,3434057.0
성북구,2023-03,4352673.0
성북구,2023-04,4047668.0
성북구,2023-05,4252698.0
성북구,2023-06,3918143.0
성북구,2023-07,3686767.0
성북구,2023-08,3594162.0
성북구,2023-09,3924614.0
성북구,2023-10,4038042.0
성북구,2023-11,4168997.0
성북구,2023-12,4014898.0
성북구,2024-01,3704473.0
성북구,2024-02,3415748.0
성북구,2024-03,4324208.0
성북구,2024-04,4245224.0
성북구,2024-05,4374326.0
성북구,2024-06,3893775.0
성북구,2024-07,3815359.0
성북구,2024-08,3488615.0
성북구,2024-09,3833060.0
성북구,2024-10,4203029.0
성북구,2024-11,4219173.0
성북구,2024-12,4092932.0
성북구,2025-01,3219066.0
성북구,2025-02,3500843.0
성북구,2025-03,4477306.0
성북구,2025-04,893455.0
송파구,2021-11,293363.0
송파구,2021-12,571563.0
송파구,2022-01,7784512.0
송파구,2022-02,6507863.0
송파구,2022-03,7217651.0
송파구,2022-04,8717254.0
송파구,2022-05,9352028.0
송파구,2022-06,8872579.0
송파구,2022-07,9246419.0
송파구,2022-08,9154044.0
송파구,2022-09,8422270.0
송파구,2022-10,9852881.0
송파구,2022-11,9327448.0
송파구,2022-12,9782146.0
송파구,2023-01,8633811.0
송파구,2023-02,8822350.0
송파구,2023-03,9931106.0
송파구,2023-04,9844639.0
송파구,2023-05,9843813.0
송파구,2023-06,9754844.0
송파구,2023-07,9705789.0
송파구,2023-08,9408943.0
송파구,2023-09,9264306.0
송파구,2023-10,9813694.0
송파구,2023-11,9985069.0
송파구,2023-12,10246494.0
송파구,2024-01,9651482.0
송파구,2024-02,8846224.0
송파구,2024-03,10219048.0
송파구,2024-04,10510087.0
송파구,2024-05,10536674.0
송파구,2024-06,9897581.0
송파구,2024-07,10175385.0
송파구,2024-08,9558750.0
송파구,2024-09,9413172.0
송파구,2024-10,10297823.0
송파구,2024-11,10384414.0
송파구,2024-12,10641089.0
송파구,2025-01,8464623.0
송파구,2025-02,9309238.0
송파구,2025-03,10526922.0
송파구,2025-04,2154690.0
양천구,2021-11,100066.0
양천구,2021-12,189154.0
양천구,2022-01,2577365.0
양천구,2022-02,2185984.0
양천구,2022-03,2397680.0
양천구,2022-04,2725141.0
양천구,2022-05,2969153.0
양천구,2022-06,2845712.0
양천구,2022-07,2920193.0
양천구,2022-08,2912098.0
양천구,2022-09,2649948.0
양천구,2022-10,3028725.0
양천구,2022-11,2979561.0
양천구,2022-12,2931180.0
양천구,2023-01,2720234.0
양천구,2023-02,2762602.0
양천구,2023-03,3137820.0
양천구,2023-04,2976344.0
양천구,2023-05,3031722.0
양천구,2023-06,2968050.0
양천구,2023-07,2932985.0
양천구,2023-08,2862848.0
양천구,2023-09,2848455.0
양천구,2023-10,2971367.0
양천구,2023-11,3036590.0
양천구,2023-12,2997796.0
양천구,2024-01,2982117.0
양천구,2024-02,2705919.0
양천구,2024-03,3078662.0
양천구,2024-04,3091756.0
양천구,2024-05,3107028.0
양천구,2024-06,2906599.0
양천구,2024-07,3005579.0
양천구,2024-08,2742810.0
양천구,2024-09,2740182.0
양천구,2024-10,3047096.0
양천구,2024-11,3067358.0
양천구,2024-12,3082552.0
양천구,2025-01,2542826.0
양천구,2025-02,2785647.0
양천구,2025-03,3097933.0
양천구,2025-04,603214.0
영등포구,2021-11,275289.0
영등포구,2021-12,509298.0
영등포구,2022-01,6908798.0
영등포구,2022-02,5823506.0
영등포구,2022-03,6426505.0
영등포구,2022-04,7756656.0
영등포구,2022-05,8200486.0
영등포구,2022-06,7769253.0
영등포구,2022-07,8078998.0
영등포구,2022-08,8153658.0
영등포구,2022-09,7316997.0
영등포구,2022-10,8343656.0
영등포구,2022-11,8410551.0
영등포구,2022-12,8267016.0
영등포구,2023-01,7607762.0
영등포구,2023-02,7787188.0
영등포구,2023-03,8852338.0
영등포구,2023-04,8597975.0
영등포구,2023-05,8502520.0
영등포구,2023-06,8425949.0
영등포구,2023-07,8342930.0
영등포구,2023-08,8221961.0
영등포구,2023-09,8160405.0
영등포구,2023-10,8520634.0
영등포구,2023-11,8689059.0
영등포구,2023-12,8536981.0
영등포구,2024-01,8483870.0
영등포구,2024-02,7719123.0
영등포구,2024-03,8792980.0
영등포구,2024-04,9088461.0
영등포구,2024-05,8896693.0
영등포구,2024-06,8412721.0
영등포구,2024-07,8691005.0
영등포구,2024-08,7966814.0
영등포구,2024-09,7868070.0
영등포구,2024-10,8944662.0
영등포구,2024-11,8968868.0
영등포구,2024-12,9512567.0
영등포구,2025-01,7292600.0
영등포구,2025-02,8086466.0
영등포구,2025-03,8991328.0
영등포구,2025-04,1813484.0
용산구,2021-11,102492.0
용산구,2021-12,206500.0
용산구,2022-01,2804691.0
용산구,2022-02,2351317.0
용산구,2022-03,2630763.0
용산구,2022-04,3049943.0
용산구,2022-05,3595008.0
용산구,2022-06,3410169.0
용산구,2022-07,3491131.0
용산구,2022-08,3492379.0
용산구,2022-09,3258311.0
용산구,2022-10,3997913.0
용산구,2022-11,3555877.0
용산구,2022-12,3637749.0
용산구,2023-01,3259174.0
용산구,2023-02,3366337.0
용산구,2023-03,3834936.0
용산구,2023-04,3684085.0
용산구,2023-05,3821318.0
용산구,2023-06,3753640.0
용산구,2023-07,3689910.0
용산구,2023-08,3621278.0
용산구,2023-09,3651801.0
용산구,2023-10,3871644.0
용산구,2023-11,3814786.0
용산구,2023-12,3855443.0
용산구,2024-01,3601739.0
용산구,2024-02,3382018.0
용산구,2024-03,3966325.0
용산구,2024-04,3884187.0
용산구,2024-05,3996479.0
용산구,2024-06,3777229.0
