동별,구분별,연월,거주인구,유동인구
도봉구,계,2009-03-01,376087,0
도봉구,계,2009-04-01,374958,0
도봉구,계,2009-05-01,374958,0
도봉구,계,2009-06-01,374958,0
도봉구,계,2009-07-01,373926,0
도봉구,계,2009-08-01,373926,0
도봉구,계,2009-09-01,373926,0
도봉구,계,2009-10-01,372398,0
도봉구,계,2009-11-01,372398,0
도봉구,계,2009-12-01,372398,0
도봉구,계,2010-01-01,371095,0
도봉구,계,2010-02-01,371095,0
도봉구,계,2010-03-01,371095,0
도봉구,계,2010-04-01,369434,0
도봉구,계,2010-05-01,369434,0
도봉구,계,2010-06-01,369434,0
도봉구,계,2010-07-01,367861,0
도봉구,계,2010-08-01,367861,0
도봉구,계,2010-09-01,367861,0
도봉구,계,2010-10-01,370734,0
도봉구,계,2010-11-01,370734,0
도봉구,계,2010-12-01,370734,0
도봉구,계,2011-01-01,370209,0
도봉구,계,2011-02-01,370209,0
도봉구,계,2011-03-01,370209,0
도봉구,계,2011-04-01,369816,0
도봉구,계,2011-05-01,369816,0
도봉구,계,2011-06-01,369816,0
도봉구,계,2011-07-01,368674,0
도봉구,계,2011-08-01,368674,0
도봉구,계,2011-09-01,368674,0
도봉구,계,2011-10-01,367949,0
도봉구,계,2011-11-01,367949,0
도봉구,계,2011-12-01,367949,0
도봉구,계,2012-01-01,366821,0
도봉구,계,2012-02-01,366821,0
도봉구,계,2012-03-01,366821,0
도봉구,계,2012-04-01,365875,0
도봉구,계,2012-05-01,365875,0
도봉구,계,2012-06-01,365875,0
도봉구,계,2012-07-01,365404,0
도봉구,계,2012-08-01,365404,0
도봉구,계,2012-09-01,365404,0
도봉구,계,2012-10-01,364454,0
도봉구,계,2012-11-01,364454,0
도봉구,계,2012-12-01,364454,0
도봉구,계,2013-01-01,363682,0
도봉구,계,2013-02-01,363682,0
도봉구,계,2013-03-01,363682,0
도봉구,계,2013-04-01,362862,0
도봉구,계,2013-05-01,362862,0
도봉구,계,2013-06-01,362862,0
도봉구,계,2013-07-01,361909,0
도봉구,계,2013-08-01,361909,0
도봉구,계,2013-09-01,361909,0
도봉구,계,2013-10-01,360609,0
도봉구,계,2013-11-01,360609,0
도봉구,계,2013-12-01,360609,0
도봉구,계,2014-01-01,359731,0
도봉구,계,2014-02-01,359731,0
도봉구,계,2014-03-01,359731,0
도봉구,계,2014-04-01,358590,0
도봉구,계,2014-05-01,358590,0
도봉구,계,2014-06-01,358590,0
도봉구,계,2014-07-01,357298,0
도봉구,계,2014-08-01,357298,0
도봉구,계,2014-09-01,357298,0
도봉구,계,2014-10-01,355712,0
도봉구,계,2014-11-01,355712,0
도봉구,계,2014-12-01,355712,0
도봉구,계,2015-01-01,355282,0
도봉구,계,2015-02-01,355282,0
도봉구,계,2015-03-01,355282,0
도봉구,계,2015-04-01,355256,0
도봉구,계,2015-05-01,355256,0
도봉구,계,2015-06-01,355256,0
도봉구,계,2015-07-01,354454,0
도봉구,계,2015-08-01,354454,0
도봉구,계,2015-09-01,354454,0
도봉구,계,2015-10-01,353241,0
도봉구,계,2015-11-01,353241,0
도봉구,계,2015-12-01,353241,0
도봉구,계,2016-01-01,352521,0
도봉구,계,2016-02-01,352521,0
도봉구,계,2016-03-01,352521,0
도봉구,계,2016-04-01,352164,0
도봉구,계,2016-05-01,352164,0
도봉구,계,2016-06-01,352164,0
도봉구,계,2016-07-01,351253,0
도봉구,계,2016-08-01,351253,0
도봉구,계,2016-09-01,351253,0
도봉구,계,2016-10-01,350272,0
도봉구,계,2016-11-01,350272,0
도봉구,계,2016-12-01,350272,0
도봉구,계,2017-01-01,348646,0
도봉구,계,2017-02-01,348646,0
도봉구,계,2017-03-01,348646,0
도봉구,계,2017-04-01,347941,0
도봉구,계,2017-05-01,347941,0
도봉구,계,2017-06-01,347941,0
도봉구,계,2017-07-01,347338,0
도봉구,계,2017-08-01,347338,0
도봉구,계,2017-09-01,347338,0
도봉구,계,2017-10-01,346234,0
도봉구,계,2017-11-01,346234,0
도봉구,계,2017-12-01,346234,0
도봉구,계,2018-01-01,345041,0
도봉구,계,2018-02-01,345041,0
도봉구,계,2018-03-01,345041,0
도봉구,계,2018-04-01,344096,0
도봉구,계,2018-05-01,344096,0
도봉구,계,2018-06-01,344096,0
도봉구,계,2018-07-01,342990,0
도봉구,계,2018-08-01,342990,0
도봉구,계,2018-09-01,342990,0
도봉구,계,2018-10-01,341649,0
도봉구,계,2018-11-01,341649,0
도봉구,계,2018-12-01,341649,0
도봉구,계,2019-01-01,340089,0
도봉구,계,2019-02-01,340089,0
도봉구,계,2019-03-01,340089,0
도봉구,계,2019-04-01,339001,0
도봉구,계,2019-05-01,339001,0
도봉구,계,2019-06-01,339001,0
